carname,starttime,endtime,startlat,startlon,endlat,endlon,timeintrip,dist,year,week,h3_O,h3_D,Month,Date,Year,Hour
g1jlCaQA4JidBpUOz2Y08Ed1kgs,2022-01-03 07:30:27,2022-01-03 07:58:22,13.712741645952583,100.51120049685136,13.65989055736158,100.53491786072816,1675.0,10969.0,2022,157,8864a4b159fffff,8864a4b35bfffff,1,2022-01-03,2022,7
jlbLFIxdx+QMGq3aDw/M3sfOzoo,2022-01-03 07:25:09,2022-01-03 07:32:09,13.766442705612356,100.483771634517,13.77297835537505,100.4820383265126,420.0,865.0,2022,157,8864a4b1e5fffff,8864a4badbfffff,1,2022-01-03,2022,7
JOR2zC5gYZqUSqVUtc8Bf9UIF/A,2022-01-03 07:09:30,2022-01-03 07:47:40,13.7624447,100.5957574,13.80013576922294,100.5960778486226,2290.0,6341.0,2022,157,8864a484adfffff,8864a485bbfffff,1,2022-01-03,2022,7
Rihr7j1Stb8XFLFn/rBYgZgVtwE,2022-01-03 07:27:52,2022-01-03 07:34:52,13.846871811838769,100.56039857258494,13.8427516977888,100.539700320153,420.0,3395.0,2022,157,8864a4bb13fffff,8864a4b847fffff,1,2022-01-03,2022,7
xP/v2hiJB9MQ0wScFMC8iDMvezQ,2022-01-03 07:03:46,2022-01-03 07:25:46,13.770183870924306,100.63767841045154,13.803744397867987,100.55456554249172,1320.0,10734.0,2022,157,8864a485c1fffff,8864a4ba07fffff,1,2022-01-03,2022,7
xP/v2hiJB9MQ0wScFMC8iDMvezQ,2022-01-03 07:37:46,2022-01-03 08:16:36,13.72679442583184,100.52144784410972,13.80161265386973,100.53876295438243,2330.0,9239.0,2022,157,8864a4b143fffff,8864a4ba15fffff,1,2022-01-03,2022,7
0B/xRrPgzewEYKebiqgpBL3H5Qs,2022-01-03 07:58:50,2022-01-03 09:14:13,13.673444001440233,100.54144737112148,13.716941249179184,100.45747477266956,4523.0,13305.0,2022,157,8864a4b355fffff,8864a4b037fffff,1,2022-01-03,2022,7
YYJHWlUD04pVAevr4o8Hmb9WgYg,2022-01-03 07:04:45,2022-01-03 07:24:45,13.6598104,100.6283406,13.563912734177055,100.68059267107682,1200.0,18043.0,2022,157,8864a486c1fffff,88658b4b6bfffff,1,2022-01-03,2022,7
lZGM0gU0JJb/1vuMyAM3OVoiYQY,2022-01-03 07:14:57,2022-01-03 07:22:57,13.685530480869286,100.54668587880552,13.63113560202205,100.58797760820072,480.0,10547.0,2022,157,8864a4b301fffff,88658b49ebfffff,1,2022-01-03,2022,7
sxQ0eRcx6rD+fGPgrSbiiZ6DAxE,2022-01-03 07:29:38,2022-01-03 07:48:38,13.803912303136569,100.6165532736699,13.829151528420397,100.63920596995892,1140.0,5968.0,2022,157,8864a48587fffff,8864a48e99fffff,1,2022-01-03,2022,7
G/jO2XdkBz+LE0HUVUgqQ2BBiQs,2022-01-03 07:04:16,2022-01-03 07:13:16,13.841666252781524,100.55065290389123,13.8334466,100.5442491,540.0,2333.0,2022,157,8864a4b845fffff,8864a4b841fffff,1,2022-01-03,2022,7
1vU9Zy4k66VxkmiXdFBrGFpTZZo,2022-01-03 07:40:28,2022-01-03 08:12:47,13.688294939742056,100.5334662902346,13.766620663293892,100.48721915782365,1939.0,12015.0,2022,157,8864a4b303fffff,8864a4bad9fffff,1,2022-01-03,2022,7
AU9rM27lVqVXnZDO52No2r7sIUs,2022-01-03 07:25:22,2022-01-03 07:38:35,13.74078677840676,100.51822056199774,13.77475913921315,100.54280979005884,793.0,5337.0,2022,157,8864a4b101fffff,8864a4ba53fffff,1,2022-01-03,2022,7
AU9rM27lVqVXnZDO52No2r7sIUs,2022-01-03 07:57:35,2022-01-03 08:16:35,13.82927988465767,100.5706131597958,13.871262535076264,100.51741326553471,1140.0,9408.0,2022,157,8864a4ba25fffff,8864a4b83dfffff,1,2022-01-03,2022,7
ryIcePuju6o199Ja8tTp8auAXA8,2022-01-03 07:04:32,2022-01-03 07:41:22,13.770947541249356,100.47993277007446,13.781570119708352,100.42193915518584,2210.0,12354.0,2022,157,8864a4badbfffff,8864a4a359fffff,1,2022-01-03,2022,7
grJrZyX93SRZVhISxlYK8qt6XoY,2022-01-03 07:03:15,2022-01-03 07:33:15,13.779639602310032,100.42668135518213,13.82564837731648,100.50320483181896,1800.0,15178.0,2022,157,8864a4a35dfffff,8864a4baadfffff,1,2022-01-03,2022,7
ySQq59oNQ+kk5G1bx796QOjUQ7M,2022-01-03 07:19:35,2022-01-03 07:43:35,13.684374234712807,100.6153499517123,13.649674238215264,100.59465643105555,1440.0,4459.470319580036,2022,157,8864a48685fffff,8864a486dbfffff,1,2022-01-03,2022,7
IlBDiqY7sbwhxlOIZwrRSi7QDDs,2022-01-03 07:03:36,2022-01-03 08:21:06,13.64451173498329,100.3730193527818,13.668682356136728,100.47831639913184,4650.0,18036.0,2022,157,8864a4b70bfffff,8864a4b05dfffff,1,2022-01-03,2022,7
CCVaCBEEySLHINpP7c1GZRmJ44g,2022-01-03 07:17:02,2022-01-03 07:33:15,13.667085546500738,100.50430494859424,13.73702988963064,100.5159901721234,973.0,11563.0,2022,157,8864a4b049fffff,8864a4b10bfffff,1,2022-01-03,2022,7
1sfVtbaa6PsoWfQWyk3gWztd+VE,2022-01-03 07:56:53,2022-01-03 08:48:01,13.72236623015904,100.7293886843797,13.775494401865812,100.67100705861364,3068.0,13582.0,2022,157,8864a4876bfffff,8864a4851dfffff,1,2022-01-03,2022,7
XukuPBpZQObF7qw29VplgpVhB4E,2022-01-03 07:27:38,2022-01-03 07:43:50,13.763035704397677,100.468272526225,13.827874690530864,100.55161598278738,972.0,14343.0,2022,157,8864a4b1e7fffff,8864a4b849fffff,1,2022-01-03,2022,7
8YRLTMZPkLFWZ8PjT8NCoBQmTcQ,2022-01-03 07:29:13,2022-01-03 07:42:49,13.789172242455678,100.48100917930915,13.785057769350194,100.45877462222036,816.0,5137.0,2022,157,8864a4bad7fffff,8864a4b1a7fffff,1,2022-01-03,2022,7
8YRLTMZPkLFWZ8PjT8NCoBQmTcQ,2022-01-03 07:59:49,2022-01-03 08:04:55,13.778586777602644,100.48840346982,13.785628809653392,100.49597445490495,306.0,1643.0,2022,157,8864a4baddfffff,8864a4bac3fffff,1,2022-01-03,2022,7
78v2VSZjapacaVzaylMToePKrbA,2022-01-03 07:04:42,2022-01-03 07:58:53,13.689611038102507,100.50724473528334,13.7185814711981,100.5157331364764,3251.0,4769.0,2022,157,8864a4b069fffff,8864a4b15dfffff,1,2022-01-03,2022,7
8FvUgUQ2wY23G/5sOkWwzeVUbcY,2022-01-03 07:42:51,2022-01-03 07:58:51,13.736258122905442,100.6126653472658,13.789878788168672,100.60996877784628,960.0,7467.0,2022,157,8864a484e9fffff,8864a48583fffff,1,2022-01-03,2022,7
pXNQUppaHWhbQFIgBj71NfXKxnQ,2022-01-03 07:53:41,2022-01-03 08:03:41,13.76581447783849,100.62611346055677,13.792241256898835,100.5982278381108,600.0,4724.0,2022,157,8864a485ddfffff,8864a48595fffff,1,2022-01-03,2022,7
ediQkcA3UdTDgS52vauKCvrMDt0,2022-01-03 07:36:56,2022-01-03 07:43:56,13.81556941027072,100.575313932194,13.828943642760311,100.56921374115356,420.0,2155.0,2022,157,8864a4ba67fffff,8864a4ba25fffff,1,2022-01-03,2022,7
sKCdUjhIQ/C21P7K6zYI7OHRiaY,2022-01-03 07:07:33,2022-01-03 07:22:26,13.721936852808929,100.45575967840654,13.75955159557119,100.47000463865304,893.0,5798.0,2022,157,8864a4b037fffff,8864a4b1e3fffff,1,2022-01-03,2022,7
sKCdUjhIQ/C21P7K6zYI7OHRiaY,2022-01-03 07:47:56,2022-01-03 08:44:26,13.742431175124208,100.60971724645452,13.764334253684153,100.538347023858,3390.0,8812.0,2022,157,8864a484e1fffff,8864a4ba5bfffff,1,2022-01-03,2022,7
PJcWGvOXE/8rl3yN9CR3c9Z5/as,2022-01-03 07:01:03,2022-01-03 09:14:30,13.695408946036398,100.60486709831468,13.916858074802658,100.59963511303926,8007.0,29077.0,2022,157,8864a486bdfffff,8864a48cb3fffff,1,2022-01-03,2022,7
EdF8PfaFYJHDxCTQpTzLE9473zg,2022-01-03 07:18:13,2022-01-03 07:24:41,13.644734188442175,100.49925704105272,13.667090901089445,100.50430647066344,388.0,2898.0,2022,157,8864a4b207fffff,8864a4b049fffff,1,2022-01-03,2022,7
