,startlat,startlon,timeintrip,easting,northing,zone_number,zone_letter
30145,13.778443013888,100.477086061998,660,659679.0937567339,1523713.718663732,47,P
30176,13.7569461457048,100.483275763849,360,660363.0140742062,1521339.7243323415,47,P
30184,13.7569677688096,100.483271881271,1734,660362.5794994676,1521342.1138233347,47,P
30185,13.7807564813084,100.474923855831,900,659443.7346495781,1523968.2130121912,47,P
30187,13.778684908139,100.476963027814,793,659665.6262950565,1523740.3967220571,47,P
30189,13.7788320683826,100.47672429102,661,659639.7128309377,1523756.5179392553,47,P
30191,13.7714869718997,100.483680266534,825,660396.8422131576,1522948.587402649,47,P
30195,13.7868634675305,100.469112679236,1380,658811.2775240086,1524639.9554429713,47,P
30220,13.7737473637078,100.466878299657,2160,658578.5441757703,1523187.5057267945,47,P
30221,13.7641702224985,100.482803602722,1591,660307.0358942775,1522138.580327841,47,P
30230,13.7785882859719,100.476950977518,360,659664.3889915011,1523729.6998125468,47,P
30239,13.7535016,100.4780426,420,659799.4608762463,1520955.1906622732,47,P
30240,13.7845378021894,100.471565258119,952,659078.028563137,1524384.299254411,47,P
30249,13.787083185347,100.466908103025,420,658572.7676941706,1524662.8060907354,47,P
30255,13.7767358291455,100.4637487399,480,658238.1422506766,1523516.04447274,47,P
30259,13.7822895210649,100.473486388699,1680,659287.2702806059,1524136.853805404,47,P
30260,13.7598310198547,100.482666836516,1860,660295.202755941,1521658.460819351,47,P
30262,13.7797907613069,100.475832075721,1380,659542.5909782816,1523861.981949698,47,P
30275,13.7780568533637,100.47765133388,960,659740.476521706,1523671.3747550542,47,P
30279,13.7788964231957,100.476664449265,1431,659633.1987117989,1523763.5975160305,47,P
30284,13.7551312926473,100.472053260527,720,659150.6908172076,1521131.51106731,47,P
30304,13.7478780056994,100.479422651416,2335,659952.514677275,1520333.9924229314,47,P
30311,13.7645367739317,100.474272006931,2159,659384.2479267207,1522173.4648407323,47,P
30312,13.7561324526713,100.485637655557,653,660618.9740738642,1521251.2826458875,47,P
30320,13.7785154618858,100.477018694615,3960,659671.7604061323,1523721.6885508737,47,P
30329,13.7784139651018,100.477314200405,1680,659703.7810763328,1523710.6566212242,47,P
30334,13.752318590545,100.480338447293,3174,660048.5311052165,1520825.8434811495,47,P
30335,13.764420779227,100.483027537443,840,660331.0797364933,1522166.447559684,47,P
30348,13.7581184000026,100.483010492441,2280,660333.5303483045,1521469.2294371137,47,P
30352,13.7781928337539,100.477420797979,380,659715.4572630504,1523686.2645746819,47,P
30354,13.7798798837287,100.475404409089,641,659496.2891152896,1523871.5574572014,47,P
30362,13.7796840937353,100.475282457285,3180,659483.2359736039,1523849.8171449448,47,P
30370,13.7787197258817,100.476828755194,1680,659651.0843653609,1523744.159311814,47,P
30371,13.7784567483957,100.47707329066,2075,659677.703518344,1523715.229574598,47,P
30373,13.7794433601236,100.476044148042,1140,659565.7571374709,1523823.6911408934,47,P
30385,13.7708632974741,100.484274130422,4094,660461.4816880613,1522879.9887373897,47,P
30388,13.7522476489035,100.477638168072,1500,659756.5775093168,1520816.2032562867,47,P
30394,13.7671451153506,100.48428725269,2731,660465.4373190028,1522468.6695596771,47,P
30395,13.758406793078,100.482027774792,1680,660227.0677806844,1521500.4791053024,47,P
30398,13.7788035906483,100.476852619076,4637,659653.6076868629,1523753.4527658173,47,P
30404,13.7692943754233,100.478312274266,1440,659817.897268306,1522702.4572660231,47,P
30407,13.780610433583,100.474964713714,720,659448.2514783955,1523952.0834665115,47,P
30408,13.7792510437547,100.476334697449,1920,659597.3033932801,1523802.6088169466,47,P
30412,13.7532479343355,100.478058309501,420,659801.331799118,1520927.1391477338,47,P
30416,13.7596478143622,100.484672124386,840,660512.1682042907,1521639.5293861504,47,P
30425,13.7755376392069,100.479803074587,1619,659974.8495905406,1523394.1146858705,47,P
30428,13.779488841035,100.476000151113,4816,659560.9690907766,1523828.6933067243,47,P
30443,13.7871138069538,100.467690441321,1781,658657.3342864892,1524666.7099761476,47,P
30444,13.7569146925298,100.483230598951,719,660358.151563264,1521336.2147221882,47,P
30450,13.7591434,100.4743467,1140,659395.9777140858,1521576.8691701721,47,P
30473,13.7817495072162,100.473991543416,1800,659342.2556257288,1524077.4491434067,47,P
30491,13.7814539299942,100.474187138245,360,659363.604555406,1524044.8803416295,47,P
30495,13.7604104684038,100.478024802234,1020,659792.8466446783,1521719.4772907682,47,P
30504,13.7683449593312,100.477512239404,420,659732.034470021,1522596.8961439326,47,P
30509,13.7467334667262,100.463243496949,5025,658203.6806465753,1520196.6980450435,47,P
30512,13.752123819491,100.479528782836,330,659961.1081961793,1520803.759047281,47,P
30514,13.7561225068925,100.485361265904,480,660589.0931496401,1521249.9980798604,47,P
30515,13.7624316695616,100.472475072691,1140,659191.3665035629,1521939.3974679692,47,P
30526,13.7784840366557,100.477047916064,3694,659674.9413385692,1523718.2315118993,47,P
30529,13.7808541462148,100.474832006009,601,659433.7371853999,1523978.9563570083,47,P
30533,13.7669011072735,100.463276435649,1667,658193.6900092751,1522427.7659239962,47,P
